Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Afghanistan,AFG,500
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Albania,ALB,5260
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Algeria,DZA,3570
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,American Samoa,ASM,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Andorra,AND,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Angola,AGO,1780
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Antigua and Barbuda,ATG,13750
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Argentina,ARG,9080
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Armenia,ARM,4220
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Aruba,ABW,23070
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Australia,AUS,53680
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Austria,AUT,48360
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Azerbaijan,AZE,4480
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Bahamas, The",BHS,24290
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bahrain,BHR,19930
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bangladesh,BGD,2340
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Barbados,BRB,15750
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Belarus,BLR,6280
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Belgium,BEL,45810
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Belize,BLZ,3930
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Benin,BEN,1280
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bermuda,BMU,111750
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bhutan,BTN,2840
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bolivia,BOL,3190
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bosnia and Herzegovina,BIH,6080
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Botswana,BWA,6500
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brazil,BRA,7800
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,British Virgin Islands,VGB,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brunei Darussalam,BRN,31510
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bulgaria,BGR,9630
