Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Afghanistan,AFG,75.09141325
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Albania,ALB,95.06803883
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Algeria,DZA,94.43732996
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,American Samoa,ASM,99.77377166
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Andorra,AND,100.0000037
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Angola,AGO,57.16773762
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Antigua and Barbuda,ATG,..
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Argentina,ARG,..
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Armenia,ARM,99.97118069
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Aruba,ABW,..
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Australia,AUS,99.96981182
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Austria,AUT,100
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Azerbaijan,AZE,96.04337613
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,"Bahamas, The",BHS,..
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Bahrain,BHR,100
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Bangladesh,BGD,97.69796025
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Barbados,BRB,98.51445042
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Belarus,BLR,96.53472608
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Belgium,BEL,99.99999645
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Belize,BLZ,98.40195463
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Benin,BEN,65.41412299
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Bermuda,BMU,99.90314002
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Bhutan,BTN,97.31322263
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Bolivia,BOL,93.39007163
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Bosnia and Herzegovina,BIH,96.11389762
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Botswana,BWA,92.21356307
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Brazil,BRA,99.32085299
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,British Virgin Islands,VGB,99.86438356
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Brunei Darussalam,BRN,99.9000368
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Bulgaria,BGR,99.01141694
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Burkina Faso,BFA,47.21485446
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Burundi,BDI,62.20712225
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Cabo Verde,CPV,88.76960642
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Cambodia,KHM,71.21988497
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Cameroon,CMR,65.72041818
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Canada,CAN,99.22181066
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Cayman Islands,CYM,..
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Central African Republic,CAF,37.20240205
