Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Afghanistan,AFG,50.49964687
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Africa Eastern and Southern,AFE,30.9310637977575
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Africa Western and Central,AFW,35.4371883805831
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Albania,ALB,99.29879315
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Algeria,DZA,85.96546957
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,American Samoa,ASM,54.45476038
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Andorra,AND,100.0000037
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Angola,AGO,51.66032915
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Antigua and Barbuda,ATG,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Arab World,ARB,83.8113113869268
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Argentina,ARG,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Armenia,ARM,93.93674174
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Aruba,ABW,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Australia,AUS,99.99115238
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Austria,AUT,99.97260464
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Azerbaijan,AZE,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,"Bahamas, The",BHS,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Bahrain,BHR,100
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Bangladesh,BGD,54.16469553
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Barbados,BRB,98.09246231
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Belarus,BLR,97.90431818
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Belgium,BEL,99.48615647
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Belize,BLZ,88.21427557
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Benin,BEN,16.96288434
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Bermuda,BMU,99.90314002
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Bhutan,BTN,76.50655402
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Bolivia,BOL,65.75642485
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Bosnia and Herzegovina,BIH,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Botswana,BWA,80.02624315
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Brazil,BRA,90.07847103
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,British Virgin Islands,VGB,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Brunei Darussalam,BRN,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Bulgaria,BGR,86.03496784
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Burkina Faso,BFA,21.6643726
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Burundi,BDI,45.72751068
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Cabo Verde,CPV,79.11569269
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Cambodia,KHM,68.76930002
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Cameroon,CMR,44.63112443
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Canada,CAN,99.03286158
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Caribbean small states,CSS,88.8616223909964
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Cayman Islands,CYM,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Central African Republic,CAF,14.11863478
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Central Europe and the Baltics,CEB,95.7064620797056
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Chad,TCD,12.06370114
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Channel Islands,CHI,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Chile,CHL,99.99999872
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,China,CHN,92.37617808
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Colombia,COL,93.68063058
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Comoros,COM,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,"Congo, Dem. Rep.",COD,15.38867157
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,"Congo, Rep.",COG,20.45974611
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Costa Rica,CRI,97.91499372
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Cote d'Ivoire,CIV,34.5659625
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Croatia,HRV,96.56523542
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Cuba,CUB,91.35635221
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Curacao,CUW,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Cyprus,CYP,99.39596129
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Czechia,CZE,99.13349732
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Denmark,DNK,99.59722947
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Djibouti,DJI,66.72263564
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Dominica,DMA,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Dominican Republic,DOM,87.17818151
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Early-demographic dividend,EAR,73.4664481525658
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,East Asia & Pacific,EAS,90.8707442732628
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,East Asia & Pacific (excluding high income),EAP,89.9113055878274
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,89.9780419033422
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Ecuador,ECU,91.52492213
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,"Egypt, Arab Rep.",EGY,97.32547363
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,El Salvador,SLV,82.44975254
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Equatorial Guinea,GNQ,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Eritrea,ERI,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Estonia,EST,99.14176925
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Eswatini,SWZ,64.29217458
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Ethiopia,ETH,8.910277929
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Euro area,EMU,99.0465214532412
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Europe & Central Asia,ECS,96.9736548091958
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Europe & Central Asia (excluding high income),ECA,94.6949962804738
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,94.8330874801578
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,European Union,EUU,98.3792835168248
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Faroe Islands,FRO,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Fiji,FJI,99.16077717
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Finland,FIN,99.44792539
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Fragile and conflict affected situations,FCS,43.8749003436662
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,France,FRA,98.64760678
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,French Polynesia,PYF,97.00338108
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Gabon,GAB,49.82416677
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,"Gambia, The",GMB,46.87122407
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Georgia,GEO,85.76672943
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Germany,DEU,99.22561915
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Ghana,GHA,23.70247451
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Gibraltar,GIB,100
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Greece,GRC,98.99374813
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Greenland,GRL,99.59723347
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Grenada,GRD,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Guam,GUM,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Guatemala,GTM,67.92858108
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Guinea,GIN,29.77614039
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Guinea-Bissau,GNB,18.2250438
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Guyana,GUY,85.78250661
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Haiti,HTI,37.12173441
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Heavily indebted poor countries (HIPC),HPC,28.4181699286021
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,High income,HIC,99.1946287699232
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Honduras,HND,83.77658071
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,"Hong Kong SAR, China",HKG,96.50417399
